ano_campeonato,data,horario,rodada,estadio,arbitro,publico,publico_max,time_man,time_vis,tecnico_man,tecnico_vis,colocacao_man,colocacao_vis,valor_equipe_titular_man,valor_equipe_titular_vis,idade_media_titular_man,idade_media_titular_vis,gols_man,gols_vis,gols_1_tempo_man,gols_1_tempo_vis,escanteios_man,escanteios_vis,faltas_man,faltas_vis,chutes_bola_parada_man,chutes_bola_parada_vis,defesas_man,defesas_vis,impedimentos_man,impedimentos_vis,chutes_man,chutes_vis,chutes_fora_man,chutes_fora_vis
2020,2020-12-12,08:00,25,Arena da Baixada,Vinicius Gonçalves Dias Araujo,0,42372,Athletico-PR,Atlético-MG,Paulo Autuori,Jorge Sampaoli,12,3,21300000,43600000,25.0,26.4,0,1,0,1,5,3,20,13,12,19,2,5,4,4,16,10,8,5
2020,2020-12-12,08:00,25,Estádio Nabi Abi Chedid,Héber Lopes,0,13212,RB Bragantino,Fortaleza,Maurício Barbieri,Marcelo Chamusca,14,10,20650000,7500000,25.6,30.7,2,1,1,1,2,5,17,18,16,15,4,5,0,2,14,13,6,6
2020,2020-12-12,10:00,25,Estádio Beira-Rio,Caio Max Augusto Vieira,0,56000,Internacional,Botafogo,Abel Braga,Eduardo Barroca,7,19,25000000,7130000,29.2,26.3,2,1,1,1,4,6,23,19,19,22,1,1,0,0,12,12,7,7
2020,2020-12-12,10:00,25,Allianz Parque,Rafael Traci,0,43600,Palmeiras,EC Bahia,Abel Ferreira,Mano Menezes,6,13,33200000,11030000,26.6,28.2,3,0,3,0,8,7,11,20,20,11,8,4,4,1,15,18,3,6
2020,2020-12-13,12:00,25,Estádio Governador Plácido Castelo,Leandro Pedro Vuaden,0,60326,Ceará SC,Atlético-GO,Guto Ferreira,Marcelo Cabo,9,15,6850000,7750000,28.2,24.7,1,2,0,0,2,8,13,15,14,11,4,2,3,2,8,12,4,1
2020,2020-12-13,01:00,25,Estádio Serra Dourada,Edina Alves Batista,0,12500,Goiás EC,Grêmio,Glauber Ramos,Renato Gaúcho,20,4,5880000,45050000,27.2,27.4,0,0,0,0,4,9,12,10,10,12,5,2,0,2,12,17,6,8
2020,2020-12-13,07:00,25,Estádio Jornalista Mário Filho,Paulo Roberto Alves Júnior,0,78838,Flamengo,Santos FC,Rogério Ceni,Cuca,2,8,71150000,9400000,27.9,23.8,4,1,1,0,6,4,12,11,11,11,2,0,3,2,12,6,8,3
2020,2020-12-13,09:15,25,Neo Química Arena,Raphael Claus,0,49205,Corinthians,São Paulo,Vágner Mancini,Fernando Diniz,11,1,29500000,28100000,29.0,27.9,1,0,1,0,4,5,12,8,8,10,6,4,0,1,14,17,7,4
2020,2020-12-13,09:15,25,Estádio Adelmar da Costa Carvalho,Marcelo de Lima Henrique,0,35000,Sport Recife,Coritiba FC,Jair Ventura,Rodrigo Santana,16,18,7900000,8300000,27.5,29.9,1,0,1,0,7,6,20,14,12,16,3,5,0,0,20,14,9,6
2020,2020-12-14,12:30,25,Estádio São Januário,Rodolpho Toski Marques,0,24584,Vasco da Gama,Fluminense,Ricardo Sá Pinto,Marcão,17,5,15130000,17000000,28.8,29.2,1,1,0,1,4,2,21,14,13,21,3,3,1,0,20,10,9,6
2020,2020-12-17,01:30,26,Estádio Antonio Accioly,Rodrigo D,0,13000,Atlético-GO,Fluminense,Marcelo Cabo,Marcão,12,7,7350000,19200000,26.1,28.5,2,1,1,0,11,6,18,18,17,16,1,3,0,0,11,5,3,1
2020,2020-12-17,01:30,26,Estádio Cícero Pompeu de Toledo,Wilton Sampaio,0,67428,São Paulo,Atlético-MG,Fernando Diniz,Jorge Sampaoli,1,3,29800000,28900000,28.0,26.1,3,0,1,0,5,3,9,10,10,8,6,4,3,3,17,14,7,3
2020,2020-12-19,11:00,26,Estádio Adelmar da Costa Carvalho,Jose Mendonça,0,35000,Sport Recife,Grêmio,Jair Ventura,Renato Gaúcho,15,6,7900000,51050000,27.5,28.0,1,1,1,0,3,7,21,9,9,19,0,1,2,2,9,13,5,5
2020,2020-12-20,12:30,26,Estádio Governador Plácido Castelo,Anderson Daronco,0,60326,Fortaleza,Ceará SC,Marcelo Chamusca,Guto Ferreira,13,10,8100000,7350000,29.5,28.3,0,2,0,0,5,1,18,17,17,16,3,0,0,0,10,6,6,1
2020,2020-12-20,01:00,26,Estádio Major Antônio Couto Pereira,Luiz Flávio de Oliveira,0,37182,Coritiba FC,Botafogo,Pachequinho,Eduardo Barroca,18,20,7500000,8630000,29.6,27.6,1,2,1,0,4,11,14,18,17,13,2,3,2,2,10,18,6,5
2020,2020-12-20,01:00,26,Estádio Beira-Rio,Savio Pereira Sampaio,0,56000,Internacional,Palmeiras,Abel Braga,Abel Ferreira,5,4,25700000,40300000,27.4,27.3,2,0,1,0,4,8,13,23,23,13,0,2,1,1,12,13,3,10
2020,2020-12-20,08:00,26,Estádio São Januário,Ricardo Marques Ribeiro,0,24584,Vasco da Gama,Santos FC,Ricardo Sá Pinto,Cuca,17,8,11400000,22550000,28.0,24.1,1,0,1,0,1,2,26,15,14,25,5,1,0,1,4,19,1,9
2020,2020-12-20,08:00,26,Estádio Nabi Abi Chedid,Braulio da Silva Machado,0,13212,RB Bragantino,Athletico-PR,Maurício Barbieri,Paulo Autuori,11,14,18700000,24900000,26.9,25.3,0,1,0,1,17,4,8,17,16,6,0,6,6,6,21,4,10,2
2020,2020-12-20,10:15,26,Estádio Jornalista Mário Filho,Flavio Rodrigues de Souza,0,78838,Flamengo,EC Bahia,Rogério Ceni,Mano Menezes,2,16,71150000,7600000,27.9,27.7,4,3,2,0,7,8,17,22,21,15,3,1,2,1,16,17,5,2
2020,2020-12-21,11:00,26,Neo Química Arena,Bruno Arleu de Araújo,0,49205,Corinthians,Goiás EC,Vágner Mancini,Glauber Ramos,9,19,28500000,5430000,29.6,25.7,2,1,1,1,12,4,11,15,14,11,6,4,5,2,19,17,10,6
2020,2020-12-26,09:00,27,Estádio Governador Magalhães Pinto,Dyorgines Jose Padovani,0,57000,Atlético-MG,Coritiba FC,Jorge Sampaoli,Pachequinho,3,19,42500000,8200000,27.5,28.7,2,0,0,0,13,3,15,13,12,15,3,7,0,2,25,7,7,4
2020,2020-12-26,11:00,27,Estádio Governador Plácido Castelo,Rafael Traci,0,60326,Fortaleza,Flamengo,Marcelo Chamusca,Rogério Ceni,14,2,7900000,66250000,29.0,26.7,0,0,0,0,4,4,22,14,13,21,2,4,1,0,11,13,6,6
2020,2020-12-26,11:00,27,Estádio Serra Dourada,Braulio da Silva Machado,0,12500,Goiás EC,Sport Recife,Glauber Ramos,Jair Ventura,20,15,6850000,7900000,27.6,27.6,1,0,1,0,4,5,20,17,19,21,4,3,0,4,10,15,6,5
2020,2020-12-27,12:30,27,Arena do Grêmio,Felipe Fernandes,0,60540,Grêmio,Atlético-GO,Renato Gaúcho,Marcelo Cabo,6,11,15350000,5850000,27.8,26.8,2,1,1,0,5,9,11,15,15,11,1,3,1,1,10,9,4,5
2020,2020-12-27,01:00,27,Estádio Jornalista Mário Filho,Anderson Daronco,0,82238,Fluminense,São Paulo,Marcão,Fernando Diniz,7,1,20350000,30100000,26.8,26.8,1,2,0,1,0,2,17,22,20,15,3,0,0,0,9,12,8,1
2020,2020-12-27,08:00,27,Estádio Olímpico Nilton Santos,Héber Lopes,0,46931,Botafogo,Corinthians,Eduardo Barroca,Vágner Mancini,18,9,8180000,28800000,27.1,30.2,0,2,0,1,2,7,19,20,19,19,4,1,2,2,11,13,9,4
2020,2020-12-27,08:00,27,Arena Fonte Nova,Paulo Roberto Alves Júnior,0,55000,EC Bahia,Internacional,Dado Cavalcanti,Abel Braga,17,4,8500000,23800000,27.7,27.7,1,2,0,1,6,7,18,12,12,17,8,2,0,2,14,15,9,2
2020,2020-12-27,10:15,27,Arena da Baixada,Jean Pierre Goncalves Lima,0,42372,Athletico-PR,Vasco da Gama,Paulo Autuori,Ricardo Sá Pinto,12,16,21500000,11350000,26.8,28.1,3,0,2,0,6,5,14,11,10,14,4,5,1,3,16,11,6,5
2020,2020-12-27,10:15,27,Allianz Parque,Raphael Claus,0,43600,Palmeiras,RB Bragantino,Abel Ferreira,Maurício Barbieri,5,13,64200000,20000000,25.4,25.2,1,0,1,0,5,8,10,6,5,9,2,0,1,1,6,21,5,10
2020,2020-12-27,10:15,27,Estádio Urbano Caldeira,Rodolpho Toski Marques,0,20120,Santos FC,Ceará SC,Cuca,Guto Ferreira,8,10,32650000,7850000,24.9,29.4,1,1,1,1,11,2,15,24,24,12,3,4,2,1,11,11,2,5
2020,2021-01-06,10:15,28,Estádio Olímpico Nilton Santos,Rodrigo D,0,46931,Botafogo,Athletico-PR,Eduardo Barroca,Paulo Autuori,19,11,9150000,21500000,28.0,26.9,0,2,0,1,3,3,14,21,18,13,2,8,4,1,24,8,10,4
2020,2021-01-06,10:15,28,Arena do Grêmio,Ramon Abatti,0,60540,Grêmio,EC Bahia,Renato Gaúcho,Dado Cavalcanti,6,17,55900000,6980000,27.2,27.5,2,1,1,0,3,10,11,17,15,11,4,0,0,1,11,17,4,8
2020,2021-01-06,11:30,28,Estádio Adelmar da Costa Carvalho,Flavio Rodrigues de Souza,0,35000,Sport Recife,Fortaleza,Jair Ventura,Marcelo Chamusca,15,14,7950000,7000000,28.0,30.6,1,0,1,0,4,8,14,12,11,13,1,0,0,1,6,17,2,9
2020,2021-01-06,11:30,28,Estádio Major Antônio Couto Pereira,Wagner do Nascimento Magalhães,0,37182,Coritiba FC,Goiás EC,Pachequinho,Glauber Ramos,20,18,8150000,7200000,28.9,26.6,1,2,0,2,6,4,13,17,17,11,3,1,2,2,16,11,11,2
2020,2021-01-07,12:30,28,Estádio Jornalista Mário Filho,Leandro Pedro Vuaden,0,78838,Flamengo,Fluminense,Rogério Ceni,Marcão,2,7,74650000,10050000,27.4,28.5,1,2,1,0,11,4,12,22,21,12,3,7,0,2,19,11,7,4
2020,2021-01-07,12:30,28,Estádio Nabi Abi Chedid,Luiz Flávio de Oliveira,0,13212,RB Bragantino,São Paulo,Maurício Barbieri,Fernando Diniz,13,1,15750000,31200000,27.1,26.7,4,2,4,1,4,5,17,4,4,15,3,6,0,3,23,8,11,2
2020,2021-01-07,10:00,28,Estádio Governador Plácido Castelo,Felipe Fernandes,0,60326,Ceará SC,Internacional,Guto Ferreira,Abel Braga,10,4,7700000,22900000,28.4,27.2,0,2,0,0,7,4,18,16,14,18,1,5,0,0,19,8,6,3
